Post_ID,Dominant_Topic,Topic_Proportion,Topics
57582568,7,0.714616,7(0.714616) 2(0.140257) 6(0.096811) 9(0.046388) 5(0.000531) 4(0.000518) 3(0.000321) 8(0.000270) 1(0.000174) 0(0.000113)
57585359,5,0.556566,5(0.556566) 0(0.322714) 4(0.118869) 6(0.000775) 1(0.000315) 2(0.000239) 7(0.000164) 8(0.000156) 3(0.000106) 9(0.000096)
57610220,9,0.466172,9(0.466172) 3(0.243650) 8(0.242380) 0(0.044624) 4(0.001382) 1(0.001055) 5(0.000385) 6(0.000189) 7(0.000088) 2(0.000075)
57614160,8,0.646263,8(0.646263) 0(0.236433) 7(0.108956) 3(0.005201) 1(0.001593) 9(0.000638) 2(0.000385) 5(0.000234) 4(0.000184) 6(0.000113)
57617476,0,0.839355,0(0.839355) 8(0.130708) 5(0.028654) 1(0.000354) 3(0.000266) 2(0.000182) 7(0.000165) 9(0.000131) 4(0.000111) 6(0.000074)
57632126,4,0.508382,4(0.508382) 1(0.292795) 9(0.099187) 0(0.096880) 6(0.000944) 8(0.000868) 5(0.000286) 2(0.000270) 3(0.000253) 7(0.000136)
57638220,9,0.969739,9(0.969739) 3(0.026999) 4(0.002102) 6(0.000356) 7(0.000175) 2(0.000170) 1(0.000163) 0(0.000140) 5(0.000089) 8(0.000068)
57650890,9,0.805062,9(0.805062) 0(0.104645) 5(0.082614) 8(0.004072) 1(0.001789) 3(0.000973) 6(0.000601) 7(0.000110) 4(0.000073) 2(0.000060)
57690243,2,0.413350,2(0.413350) 7(0.375096) 4(0.177059) 0(0.032811) 6(0.001176) 9(0.000160) 3(0.000146) 1(0.000091) 8(0.000067) 5(0.000045)
57732284,8,0.427325,8(0.427325) 5(0.231034) 9(0.221216) 1(0.116459) 0(0.003114) 3(0.000311) 6(0.000195) 4(0.000146) 2(0.000115) 7(0.000085)
57736028,2,0.327662,2(0.327662) 1(0.266440) 9(0.198120) 7(0.161141) 6(0.027700) 3(0.013398) 8(0.004117) 5(0.000602) 0(0.000591) 4(0.000229)
57759387,3,0.706117,3(0.706117) 4(0.152543) 7(0.133434) 0(0.007524) 8(0.000103) 1(0.000081) 2(0.000080) 9(0.000063) 5(0.000033) 6(0.000022)
57760772,2,0.427877,2(0.427877) 9(0.345560) 4(0.222247) 7(0.001556) 6(0.001517) 3(0.000579) 5(0.000304) 1(0.000210) 0(0.000111) 8(0.000038)
57766270,8,0.508955,8(0.508955) 9(0.202975) 1(0.139552) 7(0.097592) 2(0.048603) 5(0.000673) 3(0.000656) 6(0.000599) 0(0.000257) 4(0.000139)
57768427,7,0.793072,7(0.793072) 4(0.136482) 2(0.069111) 3(0.000354) 6(0.000302) 1(0.000207) 0(0.000172) 9(0.000137) 8(0.000095) 5(0.000066)
57792026,9,0.359424,9(0.359424) 5(0.336401) 8(0.239595) 7(0.055015) 0(0.007419) 1(0.001203) 3(0.000371) 6(0.000367) 2(0.000171) 4(0.000033)
57794057,8,0.702838,8(0.702838) 0(0.157688) 9(0.136612) 2(0.000672) 3(0.000574) 1(0.000443) 4(0.000357) 5(0.000309) 6(0.000292) 7(0.000215)
57796877,0,0.467576,0(0.467576) 2(0.317197) 1(0.213089) 6(0.000426) 4(0.000349) 3(0.000346) 8(0.000340) 7(0.000323) 5(0.000207) 9(0.000147)
57798050,5,0.415745,5(0.415745) 1(0.314766) 9(0.147693) 0(0.110637) 4(0.010386) 7(0.000225) 8(0.000195) 3(0.000147) 2(0.000146) 6(0.000060)
